UNIQUE_ID,LIST_OF_INGREDIENTS,PREPARATION_METHOD,MANUFACTURED_DATE,MANUFACTURED_LOCATION,QUANTITY,APPETIZING_COLOR,ATTRACTIVE_PACKAGING,SUBMISSION_DATE,QUALITY_ASSURANCE_ENTITY,RESPONSE
monUvMmr95OP05e,"X7, X8","D4, D2",2016-11-30,Y3,50,0,0,2016-12-01,Z3,0
1xbRcd2JbUuZ0IK,"X7, X8","D4, D2",2016-12-01,Y3,100,0,0,2016-12-31,Z1,1
8FMJ6YMJYbTC4yp,"X7, X8","D4, D2",2016-12-01,Y3,200,0,0,2016-12-31,Z1,1
fuovowqPpCHv3W9,"X1, X7",D10,2016-12-01,Y3,200,0,0,2016-12-02,Z3,0
monUvMmr95OP05e,"X7, X8","D4, D2",2016-12-01,Y3,200,0,0,2016-12-31,Z3,1
monUvMmr95OP05e,"X7, X8","D4, D2",2016-12-01,Y3,200,0,0,2017-01-01,Z3,0
monUvMmr95OP05e,"X7, X8","D4, D2",2016-12-01,Y3,200,0,0,2017-01-02,Z3,0
monUvMmr95OP05e,"X7, X8","D4, D2",2016-12-01,Y3,200,0,0,2017-01-10,Z3,0
monUvMmr95OP05e,"X7, X8","D4, D2",2016-12-01,Y3,200,0,0,2017-01-11,Z3,0
monUvMmr95OP05e,"X7, X8","D4, D2",2016-12-01,Y3,200,0,0,2017-01-30,Z3,0
winhsDL92bKQS4x,"X7, X8","D4, D2",2016-12-01,Y3,200,0,0,2016-12-31,Z2,1
xWc5x0sOguKgkJa,"X7, X8","D4, D2",2016-12-01,Y3,200,0,0,2016-12-31,Z4,1
8jE26hwkyWzOOpV,"X7, X8","D4, D2",2016-12-05,Y3,200,0,0,2017-01-02,Z3,1
j1KqeiH7KrzuW9N,"X7, X8","D4, D2",2016-12-05,Y3,400,0,0,2017-01-06,Z1,1
lBLYpZi7P5Fbs1N,"X7, X8","D4, D2",2016-12-05,Y3,400,0,0,2017-01-02,Z4,1
tossSzrrzX43iqu,"X7, X8","D4, D2",2016-12-05,Y3,200,0,0,2017-01-02,Z2,1
ZIIvtO5hcTg8Tg4,"X7, X8","D4, D2",2016-12-05,Y3,500,0,0,2017-01-02,Z2,1
w7WNrNenF4h9C5,"X1, X2, X3, X4, X5","D3, D2",2016-12-10,Y1,500,0,1,2016-12-11,Z1,0
z8lmAhwtP3ehr63,"X7, X8","D4, D2",2016-12-10,Y4,300,0,1,2016-12-11,Z3,0
QibP7kHXVqO8Ve7,"X7, X8","D4, D2",2016-12-11,Y4,100,1,1,2016-12-12,Z3,0
SuNat7oTPLjWsXD,"X7, X8","D4, D2",2016-12-15,Y4,500,0,0,2016-12-16,Z3,0
9KXp0XrXblr7bxy,"X1, X2, X3, X4, X5","D2, D1, D3",2016-12-20,Y4,500,0,1,2016-12-21,Z2,0
w7WNrNenF4h9C5,"X1, X2, X3, X4, X5","D2, D1, D3",2016-12-20,Y1,200,0,1,2016-12-21,Z1,0
b8HQmdEN4W8VMfj,"X1, X2, X3, X4, X5","D1, D2, D3",2016-12-30,Y4,400,1,1,2016-12-31,Z1,1
Cb1ZysE3Vb0BmRc,"X1, X2, X3, X4, X5","D1, D2, D3",2016-12-30,Y4,400,1,1,2016-12-31,Z2,1
jbsQ6vrRg4FK2ea,"X1, X2, X3, X4, X5","D1, D2, D3",2016-12-30,Y4,400,1,1,2016-12-31,Z1,1
RcECLtfRYf0pIvi,"X1, X2, X3, X4, X5","D1, D2, D3",2016-12-30,Y4,400,1,1,2016-12-31,Z2,1
vUimrsgQNsFAl7s,"X1, X2, X3, X4, X5","D1, D2, D3",2016-12-30,Y4,400,1,1,2016-12-31,Z4,1
ySGmj9yzdQLoO6r,"X1, X2, X3, X4, X5","D1, D2, D3",2016-12-30,Y2,50,1,1,2016-12-31,Z1,0
mUxn2XVYf0BEp1n,"X1, X2, X3, X4, X5","D1, D2, D3",2016-12-31,Y2,400,1,1,2017-01-01,Z3,1
oVqhgefHik2hGFO,"X7, X8","D4, D2",2016-12-31,Y4,200,0,0,2017-01-01,Z3,0
P8XQBLpFlTIhJhd,"X1, X2, X3, X4, X5","D1, D2, D3",2016-12-31,Y2,400,1,1,2017-01-01,Z4,1
RA4QlP16eBOuJbF,"X1, X2, X3, X4, X5","D1, D2, D3",2016-12-31,Y2,400,1,1,2017-01-01,Z1,1
RmUIzItC9qvIRjv,"X7, X8","D4, D2",2016-12-31,Y5,50,0,0,2017-01-01,Z2,0
Ud7FnQTpDOlJLu9,"X1, X2, X3, X4, X5","D1, D2, D3",2016-12-31,Y2,400,1,1,2017-01-01,Z2,1
WdlDzDsWFeoSDr4,"X1, X2, X3, X4, X5","D1, D2, D3",2016-12-31,Y2,400,1,1,2017-01-01,Z1,1
yjrSDFNxhP7y6df,"X9, X7","D2, D10",2016-12-31,Y2,400,1,1,2017-01-01,Z1,0
ySGmj9yzdQLoO6r,"X1, X2, X3, X4, X5","D1, D2, D3",2016-12-31,Y2,400,1,1,2017-01-01,Z1,1
ySGmj9yzdQLoO6r,"X1, X2, X3, X4, X5","D1, D2, D3",2016-12-31,Y1,100,1,1,2017-01-10,Z2,0
ySGmj9yzdQLoO6r,"X1, X2, X3, X4, X5","D1, D2, D3",2016-12-31,Y1,200,1,1,2017-01-11,Z2,0
ySGmj9yzdQLoO6r,"X1, X2, X3, X4, X5","D1, D2, D3",2016-12-31,Y1,300,1,1,2017-01-12,Z2,0
ySGmj9yzdQLoO6r,"X1, X2, X3, X4, X5","D1, D2, D3",2016-12-31,Y1,500,1,1,2017-01-20,Z2,0
ySGmj9yzdQLoO6r,"X1, X2, X3, X4, X5","D1, D2, D3",2016-12-31,Y1,800,1,1,2017-01-30,Z2,0
0XRECGhc8qZFWpE,"X1, X2, X3, X4, X5","D3, D2",2017-01-01,Y1,100,0,1,2017-01-02,Z1,0
284gxnMw1Ydc3cN,"X3, X4",D2,2017-01-01,Y4,100,1,0,2017-01-02,Z4,1
2KRQnHO2C2QKVbj,"X1, X2, X3, X4, X5","D2, D1, D3",2017-01-01,Y2,100,0,1,2017-01-02,Z1,0
3EkQIY38rwky7Jl,X6,D10,2017-01-01,Y1,400,0,1,2017-01-02,Z4,1
3NNx1FWbMRDx2x7,"X1, X2, X3, X4, X5","D1, D2, D3",2017-01-01,Y1,200,1,1,2017-01-02,Z4,0
4ETO8vm58FHHxR2,X6,D10,2017-01-01,Y1,200,0,1,2017-01-02,Z2,1
5ETWKYRZwyovvY8,"X1, X3",D4,2017-01-01,Y3,500,0,1,2017-01-02,Z5,0
66TYPuFZnslq8to,"X1, X2, X3, X4, X5","D1, D2, D3",2017-01-01,Y2,50,1,1,2017-01-02,Z1,0
6hcPVNb0ELLLpqe,X6,D10,2017-01-01,Y4,300,1,1,2017-01-02,Z5,0
6wskF5sUHjzhl6K,"X1, X2, X3, X4, X5","D1, D2, D3",2017-01-01,Y1,400,1,1,2017-01-02,Z2,1
6wskFSsUHjzhl6K,"X1, X2, X3, X4, X5","D1, D2, D3",2017-01-01,Y1,400,1,1,2017-01-02,Z2,0
7VfPk0h5t5aM0U1,"X3, X4",D2,2017-01-01,Y1,100,1,0,2017-01-02,Z1,1
8ED6d6Q46RtN8a2,"X1, X2, X3, X4, X5","D1, D2, D3",2017-01-01,Y1,100,1,1,2017-01-02,Z2,1
8ED6d6QA6RtN8a2,"X1, X2, X3, X4, X5","D1, D2, D3",2017-01-01,Y1,100,1,1,2017-01-02,Z2,0
a0LmCdEjePnRNXI,"X3, X4",D2,2017-01-01,Y2,300,1,0,2017-01-02,Z2,1
AGLZdecEBer2D2m,"X3, X4",D2,2017-01-01,Y1,100,1,0,2017-01-02,Z3,1
b05ABKxVD9Nyj5n,X6,D10,2017-01-01,Y1,100,0,1,2017-01-02,Z1,1
b0nEI8srVBTpTnL,"X3, X5, X6","D5, D2",2017-01-01,Y2,100,1,0,2017-01-02,Z5,0
